"site","transect","plot","recruit_aspen_density","recruit_birch_density","recruit_pine_density","recruit_larch_density","standing_dead_density","dead_larch_density","dead_tree_density","live_larch_density","live_tree_density","recruit_density","soil_gCm2","SOL_depth","trees_gCm2","snags_gCm2","aspen_trees_gCm2","aspen_snags_gCm2","birch_trees_gCm2","birch_snags_gCm2","pine_trees_gCm2","pine_snags_gCm2","larch_trees_gCm2","larch_snags_gCm2","crown_severity","latitude","longitude","shrub_gCm2","dnbr","FWD_gCm2","CWD_gCm2","region","burn_year","up_flood","slope","aspect","char_percent","elevation","basal_area_ha","AGB_gCm2","treatment","trees_raw","mean_trees","mean_snags"
"CN",1,"150",0,0,0,0,127,414,414,0,0,0,2445.0474471831,3.5,0,1.86847371423077,NA,NA,NA,NA,NA,NA,NA,NA,1.69230769230769,68.7834726367145,161.475711017847,46.5688503855756,NA,206.98988,593.897461387884,"Cherskiy",2001,"Upland",11,"0",0,37.13635254,0,849.32466548769,"burned",NA,NA,NA
"CN",1,"200",0,0,0,0,127,191,191,0,0,0,3792.7267494824,5,0,33.4084868972742,NA,NA,NA,NA,NA,NA,NA,NA,1.33333333333333,68.7839094176888,161.476053753867,64.5891143113819,NA,35.69744,181.214264282714,"Cherskiy",2001,"Upland",0,"flat",0,32.32983398,0,314.90930549137,"burned",NA,NA,NA
"CN",1,"25",0,0,0,0,0,223,223,764,764,0,3392.42042926829,7,277.863292186238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.7824166007339,161.474572168663,124.856676508478,NA,174.78924,0,"Cherskiy",2001,"Upland",0,"flat",0,47.47045898,2.55240749966672,577.509208694716,"burned",NA,NA,NA
"CN",1,"50",0,0,0,6366,382,1528,1528,0,0,6366,2962.4078886693,6,0,48.5820349414722,NA,NA,NA,NA,NA,NA,NA,NA,2.08333333333333,68.7826275732368,161.474779201671,59.9764359870858,NA,189.13364,0,"Cherskiy",2001,"Upland",0,"flat",0,47.23010254,0,297.692110928558,"burned",NA,NA,NA
"CN",1,"75",0,0,0,3183,127,286,286,0,0,3183,3405.2034115899,4,0,88.2343267999964,NA,NA,NA,NA,NA,NA,NA,NA,2,68.7828324269503,161.474987491965,62.7300650555694,NA,28.88808,94.9497199811634,"Cherskiy",2001,"Upland",0,"flat",0,45.30749512,0,274.802191836729,"burned",NA,NA,NA
"CN",2,"-35",0,0,0,0,707,707,707,8135,8135,0,3500.6981884058,6,1576.13721154896,7.80918642248462,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.7880996149033,161.477324618026,147.92219810098,51.391006,99.1982,0,"Cherskiy",2001,"Upland",26,"230",0,42.18322754,14.4674833345144,1831.06679607242,"unburned",NA,NA,NA
"CN",2,"-60",0,0,0,0,0,0,0,9196,9196,0,1370.02558415842,6,1520.23549357358,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.7881255149841,161.476685917004,157.834243554136,71.24516,255.52396,0,"Cherskiy",2001,"Upland",26,"230",0,40.74121094,13.9816000011414,1933.59369712772,"unburned",NA,NA,NA
"CN",2,"100",0,0,0,1592,764,2419,2419,0,0,1592,2465.11754122939,6,0,620.495716465541,NA,NA,NA,NA,NA,NA,NA,NA,2.73684210526316,68.7877954356372,161.480949958786,79.127942517939,NA,90.39416,266.885514735545,"Cherskiy",2001,"Upland",17,"290",0,46.98986816,0,1056.90333371903,"burned",NA,NA,NA
"CN",2,"150",0,0,0,0,127,1528,1528,0,0,0,2021.55085714286,4,0,911.974789744191,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.7877333257347,161.48241511546,132.140131470378,NA,5.9032,99.8481359358365,"Cherskiy",2001,"Upland",0,"flat",0,50.11413574,0,1149.86625715041,"burned",NA,NA,NA
"CN",2,"200",0,0,0,796,255,1146,1146,0,0,796,3011.37175887696,6,0,578.108311788765,NA,NA,NA,NA,NA,NA,NA,NA,2.55555555555556,68.7876344192773,161.483837608248,37.8627311986209,NA,61.08684,342.435178356691,"Cherskiy",2001,"Upland",19,"120",0,47.23010254,0,1019.49306134408,"burned",NA,NA,NA
